Sex,School Code,Playing Years,Playing Often,Playing Hours,Playing Games,Parent Revenue,Father Education,Mother Education,Grade,PCA1,PCA2,Grade Category,Cluster
0.0,0.1,0.25,1.0,0.2,0.5,0.25,0.3333333333333333,0.3333333333333333,70.0,-3.142288088558408,0.7173310363981225,Medium,2
0.0,0.1,0.75,0.2,0.4,0.5,0.25,0.6666666666666666,0.3333333333333333,80.0,-2.770823515984991,-0.6523387548027011,Medium,2
0.0,0.1,0.25,0.8,0.2,0.5,0.25,0.6666666666666666,0.5,70.0,-2.893565380455298,0.18867048005322928,Medium,2
0.0,0.1,0.5,0.6000000000000001,0.8,0.5,0.5,0.5,0.5,71.0,-3.216544483144636,1.2304454562002718,Medium,2
1.0,0.1,1.0,0.4,1.0,0.5,0.75,0.8333333333333333,0.6666666666666666,80.0,-3.2778156673866503,2.1945874363831583,Medium,1
0.0,0.1,0.75,0.2,0.6000000000000001,0.5,0.25,0.6666666666666666,0.3333333333333333,80.0,-2.8547881921775096,-0.21752160156226186,Medium,2
0.0,0.1,0.5,1.0,0.2,0.5,0.5,0.6666666666666666,0.3333333333333333,88.0,-3.2078179704498364,1.338129243613798,High,2
0.0,0.1,0.5,0.8,0.4,0.5,0.5,0.6666666666666666,0.8333333333333333,75.0,-3.0627648047926344,1.2846869537224288,Medium,2
1.0,0.1,0.5,0.2,0.6000000000000001,0.5,0.5,0.5,0.3333333333333333,70.0,-2.9168579899672813,-0.6382753535576846,Medium,1
1.0,0.1,0.75,0.2,0.2,0.5,0.25,0.6666666666666666,0.8333333333333333,76.0,-2.587479815357093,-0.7848458158340894,Medium,1
0.0,0.1,1.0,1.0,0.2,0.5,0.25,0.6666666666666666,0.3333333333333333,67.0,-3.262225784679549,2.2518391013206376,Medium,2
0.0,0.1,0.25,1.0,0.2,0.5,0.75,0.5,0.3333333333333333,75.0,-3.2667589253299933,0.84297385814821,Medium,2
0.0,0.1,1.0,0.2,0.6000000000000001,0.5,0.5,0.6666666666666666,0.5,73.0,-2.9741922294373264,0.36770823262020347,Medium,2
0.0,0.1,0.75,0.2,0.6000000000000001,0.5,0.5,0.3333333333333333,0.5,55.0,-2.992908627052537,-0.21815302854030527,Low,2
1.0,0.1,0.5,0.4,0.4,0.5,0.5,0.5,0.5,87.0,-2.9252339991644893,-0.28095511868113565,High,1
1.0,0.1,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,98.0,-2.4889883410910967,-3.6532567218346417,High,0
1.0,0.1,0.75,0.8,0.2,0.5,0.5,0.5,0.5,98.0,-3.163616318849597,1.190886933700816,High,1
0.0,0.1,0.5,0.4,0.4,0.5,1.0,0.8333333333333333,0.8333333333333333,97.66,-2.9342156925547696,-0.022006028268870992,High,2
0.0,0.1,0.25,0.8,0.2,0.5,0.5,0.6666666666666666,0.6666666666666666,82.5,-2.9436423708469386,0.2995769123546914,High,2
0.0,0.1,0.5,1.0,0.2,0.5,0.75,1.0,0.8333333333333333,98.5,-3.1015129381280935,1.7125125076873573,High,2
1.0,0.1,1.0,0.2,1.0,0.5,0.75,0.3333333333333333,0.3333333333333333,40.0,-3.351709437837002,1.1591737731006146,Low,1
0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.3333333333333333,78.5,-2.32116410414495,-3.9440070527498152,Medium,0
0.0,0.1,0.25,0.8,0.2,0.5,0.75,0.8333333333333333,0.8333333333333333,94.5,-2.949697638996886,0.46625227429590677,High,2
0.0,0.1,0.25,1.0,0.2,0.5,0.5,0.6666666666666666,0.6666666666666666,91.0,-3.070152345351664,1.0157448142253855,High,2
0.0,0.1,0.25,1.0,0.4,0.5,0.25,0.5,0.8333333333333333,90.0,-3.0797231751642378,1.4358255780172007,High,2
0.0,0.1,0.25,0.4,0.4,0.5,0.5,0.3333333333333333,0.3333333333333333,95.24,-2.9309691207433906,-0.9614185699183526,High,2
1.0,0.1,0.25,1.0,0.6000000000000001,0.5,0.5,0.8333333333333333,0.8333333333333333,70.0,-3.163019529289624,2.091519170062478,Medium,1
